nameWithOwner,createdAt,updatedAt,primaryLanguage,mergedPullRequests,releases,totalIssues,closedIssues,collectedAt,stargazerCount
fatedier/frp,2015-12-21T15:24:59Z,2026-08-27T14:55:37Z,Go,862,116,4148,4107,2026-08-27T18:41:57.584741736Z,109062
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2026-08-27T17:43:47Z,Shell,445,0,252,250,2026-08-27T18:41:57.584741736Z,109040
supabase/supabase,2019-10-12T05:56:49Z,2026-08-27T18:22:16Z,TypeScript,18881,30,5868,5586,2026-08-27T18:41:57.584741736Z,108489
denoland/deno,2018-05-15T01:34:26Z,2026-08-27T18:16:53Z,Rust,16494,389,15034,13844,2026-08-27T18:41:57.584741736Z,108321
openai/whisper,2022-09-16T20:02:54Z,2026-08-27T18:18:11Z,Python,122,13,0,0,2026-08-27T18:41:57.584741736Z,108019
google-gemini/gemini-cli,2025-04-17T17:04:31Z,2026-08-27T18:10:31Z,TypeScript,6669,602,14314,13714,2026-08-27T18:41:57.584741736Z,106711
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2026-08-27T17:01:11Z,Dockerfile,766,0,343,288,2026-08-27T18:41:57.584741736Z,105605
microsoft/terminal,2017-08-11T18:38:22Z,2026-08-27T16:53:43Z,C++,4527,156,14092,12421,2026-08-27T18:41:57.584741736Z,104704
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2026-08-27T17:26:58Z,Python,25,1,1080,944,2026-08-27T18:41:57.584741736Z,104422
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,2026-08-27T18:11:32Z,Jupyter Notebook,509,0,240,239,2026-08-27T18:41:57.584741736Z,103907
react/create-react-app,2016-07-17T14:55:11Z,2026-08-27T15:59:46Z,JavaScript,1949,83,8432,6576,2026-08-27T18:41:57.584741736Z,103282
pytorch/pytorch,2016-08-13T05:26:41Z,2026-08-27T18:22:08Z,Python,6617,68,60578,46634,2026-08-27T18:41:57.584741736Z,102622
neovim/neovim,2014-01-31T13:39:22Z,2026-08-27T17:36:19Z,Vim Script,19738,55,14520,12934,2026-08-27T18:41:57.584741736Z,101994
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2026-08-27T14:42:50Z,,647,5,857,394,2026-08-27T18:41:57.584741736Z,101983
fastapi/fastapi,2018-12-08T08:21:47Z,2026-08-27T18:18:00Z,Python,3571,300,3548,3547,2026-08-27T18:41:57.584741736Z,101882
ruanyf/weekly,2018-10-13T12:36:07Z,2026-08-27T18:11:39Z,,121,0,10552,1710,2026-08-27T18:41:57.584741736Z,101419
JuliusBrussee/caveman,2026-04-04T10:03:00Z,2026-08-27T18:20:23Z,Go,60,27,371,188,2026-08-27T18:41:57.584741736Z,101394
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,2026-08-27T18:22:17Z,Python,27,8,462,271,2026-08-27T18:41:57.584741736Z,101070
angular/angular,2014-09-18T16:12:01Z,2026-08-27T18:05:35Z,TypeScript,7464,697,30908,29924,2026-08-27T18:41:57.584741736Z,101005
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2026-08-27T17:06:02Z,,109,0,47,31,2026-08-27T18:41:57.584741736Z,100344
ant-design/ant-design,2015-04-24T15:37:24Z,2026-08-27T15:30:23Z,TypeScript,18281,759,32784,31771,2026-08-27T18:41:57.584741736Z,99223
mui/material-ui,2014-08-18T19:11:54Z,2026-08-27T17:44:46Z,JavaScript,22220,572,20517,19140,2026-08-27T18:41:57.584741736Z,98948
earendil-works/pi,2025-08-09T14:03:50Z,2026-08-27T18:23:05Z,TypeScript,931,256,5463,5387,2026-08-27T18:41:57.584741736Z,98254
nvbn/thefuck,2015-04-08T15:08:04Z,2026-08-27T18:15:42Z,Python,482,17,791,483,2026-08-27T18:41:57.584741736Z,97747
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2026-08-27T16:51:35Z,TypeScript,3476,307,4902,4875,2026-08-27T18:41:57.584741736Z,97357
florinpop17/app-ideas,2019-02-25T18:36:56Z,2026-08-27T18:07:24Z,,151,0,201,53,2026-08-27T18:41:57.584741736Z,97122
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2026-08-27T16:40:47Z,JavaScript,689,0,460,392,2026-08-27T18:41:57.584741736Z,96482
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2026-08-27T16:26:34Z,Python,123,13,1178,1156,2026-08-27T18:41:57.584741736Z,96161
oven-sh/bun,2021-04-14T00:48:17Z,2026-08-27T17:54:29Z,Rust,10011,215,17808,14440,2026-08-27T18:41:57.584741736Z,95737
puppeteer/puppeteer,2017-05-09T22:16:13Z,2026-08-27T14:39:09Z,TypeScript,6238,703,7403,7157,2026-08-27T18:41:57.584741736Z,95508
microsoft/playwright,2019-11-15T18:32:42Z,2026-08-27T18:19:32Z,TypeScript,17759,165,17866,17714,2026-08-27T18:41:57.584741736Z,95245
karpathy/autoresearch,2026-03-06T22:00:43Z,2026-08-27T17:23:05Z,Python,7,0,111,59,2026-08-27T18:41:57.584741736Z,94800
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2026-08-27T17:53:29Z,JavaScript,149,0,247,166,2026-08-27T18:41:57.584741736Z,94768
nvm-sh/nvm,2010-04-15T17:47:47Z,2026-08-27T16:36:04Z,Shell,761,74,2451,2111,2026-08-27T18:41:57.584741736Z,94765
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2026-08-27T14:30:03Z,Java,1585,0,986,867,2026-08-27T18:41:57.584741736Z,94627
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,2026-08-27T17:58:56Z,,3392,0,568,551,2026-08-27T18:41:57.584741736Z,92885
thedotmack/claude-mem,2025-08-31T20:50:03Z,2026-08-27T18:22:58Z,JavaScript,517,310,1986,1921,2026-08-27T18:41:57.584741736Z,92164
3b1b/manim,2015-03-22T18:50:58Z,2026-08-27T17:57:28Z,Python,702,13,1237,775,2026-08-27T18:41:57.584741736Z,92114
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2026-08-27T16:27:33Z,,10,1,729,717,2026-08-27T18:41:57.584741736Z,92037
nexu-io/open-design,2026-04-28T04:25:20Z,2026-08-27T18:18:21Z,,3049,31,1854,1392,2026-08-27T18:41:57.584741736Z,92024
ruvnet/RuView,2025-06-07T04:32:30Z,2026-08-27T18:21:57Z,Rust,410,293,491,450,2026-08-27T18:41:57.584741736Z,91830
storybookjs/storybook,2016-03-18T04:23:44Z,2026-08-27T15:55:06Z,TypeScript,13191,1000,14554,12981,2026-08-27T18:41:57.584741736Z,90949
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,2026-08-27T18:13:53Z,Java,4184,186,1870,1500,2026-08-27T18:41:57.584741736Z,90720
louislam/uptime-kuma,2021-07-03T01:02:42Z,2026-08-27T18:21:27Z,JavaScript,1838,134,4932,4224,2026-08-27T18:41:57.584741736Z,90679
opencv/opencv,2012-07-19T09:40:17Z,2026-08-27T18:03:20Z,C++,14102,69,11651,9104,2026-08-27T18:41:57.584741736Z,90619
sherlock-project/sherlock,2018-12-24T14:30:48Z,2026-08-27T18:21:08Z,Python,744,2,1178,1080,2026-08-27T18:41:57.584741736Z,90398
addyosmani/agent-skills,2026-02-15T20:20:26Z,2026-08-27T18:14:21Z,JavaScript,136,9,143,82,2026-08-27T18:41:57.584741736Z,90246
vllm-project/vllm,2023-02-09T11:23:20Z,2026-08-27T18:21:22Z,Python,20427,104,17633,15400,2026-08-27T18:41:57.584741736Z,90232
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2026-08-27T12:37:35Z,Vue,311,49,3613,2357,2026-08-27T18:41:57.584741736Z,90203
home-assistant/core,2013-09-17T07:29:48Z,2026-08-27T17:49:42Z,Python,90799,1000,73548,70829,2026-08-27T18:41:57.584741736Z,90137
bitcoin/bitcoin,2010-12-19T15:16:43Z,2026-08-27T17:06:01Z,C++,16868,68,9181,8848,2026-08-27T18:41:57.584741736Z,90024
mermaid-js/mermaid,2014-11-01T23:52:32Z,2026-08-27T16:49:10Z,TypeScript,2833,210,3803,2345,2026-08-27T18:41:57.584741736Z,89966
modelcontextprotocol/servers,2024-11-19T01:10:17Z,2026-08-27T17:31:52Z,TypeScript,1229,27,1184,934,2026-08-27T18:41:57.584741736Z,89909
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2026-08-27T18:06:19Z,Jupyter Notebook,496,0,165,163,2026-08-27T18:41:57.584741736Z,89842
gohugoio/hugo,2013-07-04T15:26:26Z,2026-08-27T15:11:25Z,Go,3492,381,8214,8005,2026-08-27T18:41:57.584741736Z,89557
localsend/localsend,2022-12-16T00:46:07Z,2026-08-27T17:56:55Z,Dart,734,27,1801,808,2026-08-27T18:41:57.584741736Z,89512
infiniflow/ragflow,2023-12-12T06:13:13Z,2026-08-27T18:11:01Z,Go,8803,53,7662,6433,2026-08-27T18:41:57.584741736Z,89396
zed-industries/zed,2021-02-20T03:01:06Z,2026-08-27T17:38:01Z,Rust,26593,1000,22668,20138,2026-08-27T18:41:57.584741736Z,89318
astral-sh/uv,2023-10-02T20:24:11Z,2026-08-27T18:03:21Z,Rust,10193,304,9234,6869,2026-08-27T18:41:57.584741736Z,89162
gin-gonic/gin,2014-06-16T23:57:25Z,2026-08-27T16:46:10Z,Go,1247,29,2402,1797,2026-08-27T18:41:57.584741736Z,89123
django/django,2012-04-28T02:47:18Z,2026-08-27T16:11:17Z,Python,10696,0,0,0,2026-08-27T18:41:57.584741736Z,89029
